,tx,ty,tz,PL,angle
0,0.0017179999999999997,-0.001065,0.000964,18,2
0,0.0019499999999999995,0.001412,-0.0038949999999999996,19,2
0,0.0007799999999999997,-0.0009160000000000001,0.001258,20,2
0,-0.005925000000000001,0.000876,0.00199,21,2
0,-0.0035860000000000006,0.0028209999999999997,-0.0031480000000000006,22,2
0,0.0006320000000000004,-0.0024230000000000007,0.004221,23,2
0,0.001684,-0.0001969999999999998,-0.0006649999999999997,24,2
0,-0.0025959999999999993,-0.00022300000000000016,0.002028999999999999,25,2
0,8.900000000000075e-05,0.0003919999999999999,-0.0008020000000000002,26,2
0,0.0031230000000000008,-0.001201,0.0003540000000000008,27,2
0,0.0002850000000000001,-0.00043000000000000015,0.0006399999999999998,28,2
0,0.003718999999999999,-0.001242,6.90000000000004e-05,29,2
0,-0.003616,0.0015839999999999997,-0.0007779999999999995,30,2
0,-0.0015730000000000002,0.001331,-0.0015589999999999996,31,2
0,-0.001765,0.0010780000000000004,-0.0009600000000000003,32,2
0,0.00021899999999999963,-0.0006039999999999999,0.0010139999999999997,33,2
0,-0.0013740000000000002,0.002163,-0.0032630000000000003,34,2
0,0.0019739999999999996,-0.0011610000000000001,0.0009889999999999999,35,2
0,-0.0012369999999999998,-0.002984,0.006436999999999999,36,2
0,-0.0025359999999999988,-0.00016100000000000028,0.0018780000000000001,37,2
0,-0.013655999999999998,0.005550000000000001,-0.002118,38,2
0,0.006174,-0.002869,0.0016409999999999999,39,2
0,0.0003880000000000003,-0.001595,0.002793,40,2
0,0.002542,0.00042100000000000004,-0.002376,41,2
0,-0.007254,0.0029829999999999995,-0.0011929999999999996,42,2
0,-0.003225000000000001,0.0011749999999999998,-0.00024200000000000003,43,2
0,0.0013169999999999998,0.001756,-0.004157000000000001,44,2
0,-0.0004820000000000001,0.0005659999999999999,-0.0007770000000000006,45,2
0,0.0005920000000000009,0.0009269999999999993,-0.002127,46,2
0,0.0014749999999999997,-0.000921,0.0008449999999999999,47,2
0,0.0005840000000000003,0.0025520000000000004,-0.005218,48,2
0,-0.0018160000000000008,0.0007880000000000003,-0.00037799999999999997,49,2
0,-0.003222000000000001,-0.0010120000000000003,0.0039169999999999995,50,2
0,0.003031,0.006281,-0.013816000000000002,51,2
0,0.0055639999999999995,-0.003694,0.003589,52,2
0,-0.005033999999999999,0.0030499999999999993,-0.002696999999999999,53,2
0,0.007424000000000001,0.0015580000000000001,-0.007552000000000001,54,2
0,0.0022089999999999996,-0.002873999999999999,0.004101000000000001,55,2
0,-0.004049,-0.00041899999999999983,0.0032980000000000006,56,2
0,0.00047099999999999996,0.0024639999999999996,-0.004981000000000001,57,2
0,0.002736000000000001,-0.0009329999999999998,8.299999999999952e-05,58,2
0,0.007495,-0.003852000000000001,0.0026930000000000005,59,2
0,-0.008477,0.0058699999999999985,-0.005931999999999999,60,2
0,0.00038399999999999947,-0.0014540000000000002,0.0025310000000000003,61,2
0,-0.003765000000000001,0.0038890000000000005,-0.005066000000000001,62,2
0,-0.003071999999999999,0.00359,-0.004933999999999998,63,2
0,9.799999999999981e-05,0.002502999999999999,-0.004819000000000001,64,2
0,0.00013900000000000007,0.0014190000000000001,-0.0027849999999999997,65,2
0,-0.0014579999999999997,-0.00026100000000000006,0.0013939999999999998,66,2
0,0.006554000000000001,0.0013859999999999999,-0.006687000000000001,67,2
0,-0.0002330000000000004,0.003083,-0.005718000000000001,68,2
0,-0.0008840000000000003,0.0005049999999999998,-0.0004149999999999987,69,2
