,tx,ty,tz,PL,angle
0,-0.00011800000000000027,0.00016599999999999991,-0.00024400000000000024,66,2
0,0.000961,-0.000532,0.000411,67,2
0,0.000506,0.00010599999999999995,-0.0005159999999999997,68,2
0,-0.00048700000000000013,0.0007210000000000001,-0.001076,69,2
0,-0.0017960000000000003,0.0011840000000000002,-0.001143,70,2
0,-0.0013859999999999996,-0.005135000000000001,0.0037950000000000006,1,3
0,-0.005141,-0.007308,0.0002710000000000002,2,3
0,-0.0026260000000000007,0.0002050000000000001,-0.004490000000000001,3,3
0,-0.001928,-0.004995,0.00275,4,3
0,-0.0004180000000000004,0.0006289999999999998,-0.001417,5,3
0,-0.006461000000000001,-0.004777999999999999,-0.0048389999999999996,6,3
0,-0.001487,-0.001121,-0.0010840000000000001,7,3
0,-0.004524,-0.0024800000000000004,-0.004402,8,3
0,-0.00031999999999999997,-0.0035719999999999997,0.0036820000000000004,9,3
0,-0.001228,0.00024200000000000003,-0.002268,10,3
0,-0.001972,-0.0011630000000000002,-0.001822999999999999,11,3
0,-0.0007099999999999999,0.00035599999999999955,-0.0015699999999999996,12,3
0,-0.0014399999999999999,-0.0018610000000000002,-0.00014499999999999973,13,3
0,-0.0018869999999999996,-0.0025849999999999996,-1.199999999999975e-05,14,3
0,-0.00099,0.001513,-0.0033830000000000006,15,3
0,-0.0011650000000000002,-0.004606999999999999,0.0035299999999999997,16,3
0,-0.001311,-9.100000000000015e-05,-0.002017,17,3
0,-0.004007,-0.002306,-0.00377,18,3
0,0.002798,0.0007869999999999994,0.0036050000000000006,19,3
0,-0.0012230000000000001,-0.0038929999999999998,0.0026030000000000003,20,3
0,-0.003041,-0.0014560000000000003,-0.003209000000000001,21,3
0,-0.0027020000000000004,-0.0054659999999999995,0.002056,22,3
0,0.00010499999999999984,0.000365,-0.0002639999999999995,23,3
0,-0.000515,-0.00045399999999999965,-0.0002970000000000003,24,3
0,-0.00018400000000000024,0.000676,-0.0010979999999999998,25,3
0,-0.000798,-0.002419,0.0015530000000000001,26,3
0,-0.0005310000000000004,-0.0028269999999999997,0.0024660000000000003,27,3
0,-0.0019769999999999996,-0.0002090000000000002,-0.0029570000000000004,28,3
0,0.0008020000000000001,-0.002198,0.003885000000000001,29,3
0,-0.0008399999999999999,-0.002259,0.0012950000000000001,30,3
0,0.00037800000000000035,-6.400000000000004e-05,0.000684,31,3
0,0.0007869999999999999,-0.0015860000000000002,0.0031420000000000003,32,3
0,0.001009,0.001121,0.0003110000000000003,33,3
0,-0.003227999999999999,-0.0028080000000000006,-0.0019249999999999998,34,3
0,-0.004066,-0.002152,-0.0040539999999999994,35,3
0,0.0005360000000000001,-0.000729,0.001729,36,3
